iter	RMSE
0	0.6188853791
1	0.5996859434
2	0.5808448012
3	0.56421623
4	0.5481371645
5	0.5325040681
6	0.5174167309
7	0.5032263822
8	0.4900501519
9	0.4770908341
10	0.4663195181
11	0.4555758186
12	0.4446558027
13	0.4343575948
14	0.4254472143
15	0.4160449691
16	0.4071332818
17	0.3992767692
18	0.3915102325
19	0.3840685143
20	0.3775023919
21	0.3711576671
22	0.3654711639
23	0.3600825251
24	0.354781137
25	0.3498603963
26	0.3452674779
27	0.3413901652
28	0.3375901383
29	0.3337917577
30	0.3303679497
31	0.3274493965
32	0.3243263815
33	0.3212426892
34	0.3184984889
35	0.3160947705
36	0.3136993401
37	0.3114935996
38	0.3094866375
39	0.3073461782
40	0.3052079419
41	0.3033900104
42	0.3014000872
43	0.2998557759
44	0.2982456496
45	0.2967980727
46	0.2953606354
47	0.2941788575
48	0.2929354498
49	0.2916456757
50	0.2904121978
51	0.2893368419
52	0.2883103876
53	0.2872992687
54	0.2864499308
55	0.2855965169
56	0.2846071599
57	0.2838882548
58	0.2832640606
59	0.2826511769
60	0.2821482612
61	0.2816326803
62	0.2810136304
63	0.2803639363
64	0.2797904721
65	0.2793497535
66	0.2788437426
67	0.2784908719
68	0.2780424209
69	0.2775506468
70	0.2770973914
71	0.2767593592
72	0.2765748786
73	0.2761975309
74	0.2758841175
75	0.2755093402
76	0.2751207864
77	0.2748000766
78	0.2745673743
79	0.2743487272
80	0.274081327
81	0.2737767369
82	0.2734728761
83	0.2732213001
84	0.2729843282
85	0.2728002029
86	0.2725279437
87	0.2722772724
88	0.2721007495
89	0.2719015741
90	0.2717054822
91	0.2714859918
92	0.2712545292
93	0.2710637693
94	0.2708713651
95	0.2706462773
96	0.2704153438
97	0.2701989442
98	0.270041569
99	0.2698456716
100	0.2696656245
101	0.2694801941
102	0.2692425805
103	0.2690033559
104	0.2688668854
105	0.2687423577
106	0.2686277567
107	0.2684485079
108	0.2683425443
109	0.2679928302
110	0.267701438
111	0.2675537965
112	0.267244365
113	0.2671445206
114	0.2668990679
115	0.2667568286
116	0.2666138307
117	0.2664824194
118	0.2661909025
119	0.2660206207
120	0.2658232174
121	0.2657366526
122	0.26561692
123	0.2654365445
124	0.2652561603
125	0.2651542041
126	0.2651231866
127	0.2649774113
128	0.2648796874
129	0.2647676036
130	0.2646393283
131	0.2645180425
132	0.2644254196
133	0.2643083777
134	0.264256529
135	0.2640861938
136	0.2640035668
137	0.2638496447
138	0.2637392017
139	0.2636147707
140	0.2634895441
141	0.2632899562
142	0.2631483791
143	0.2630255596
144	0.2629429194
145	0.2628467751
146	0.2627516802
147	0.2626726853
148	0.2624937547
149	0.2623348785
150	0.2621774586
151	0.2621238671
152	0.2620617326
153	0.2619118706
154	0.2617996423
155	0.2615209582
156	0.2614456273
157	0.2613576601
158	0.2612470363
159	0.2611330566
160	0.2610046123
161	0.2608685102
162	0.2607129002
163	0.2605440127
164	0.2604444677
165	0.2603108858
166	0.2600594446
167	0.260000322
168	0.2598911377
169	0.2598056089
170	0.2597122015
171	0.2595151712
172	0.2594579478
173	0.2592547048
174	0.2591732032
175	0.2589778005
176	0.2588422285
177	0.2586796227
178	0.2585982539
179	0.258418846
180	0.2583107269
181	0.2582178108
182	0.2579806183
183	0.2578277813
184	0.2576561488
185	0.2575624811
186	0.257298588
187	0.2571733414
188	0.2570274878
189	0.2569216502
190	0.2568071827
191	0.2566175816
192	0.2564984934
193	0.2562858276
194	0.2562033103
195	0.2560189468
196	0.2559371123
197	0.2557928678
198	0.2556628894
199	0.255578387
200	0.2554299453
201	0.2553402893
202	0.2552138864
203	0.255124256
204	0.2549922173
205	0.2547889133
206	0.2546588255
207	0.2544821055
208	0.2543897662
209	0.2543193483
210	0.2542045027
211	0.2540822501
212	0.2540016083
213	0.2539365376
214	0.2537621224
215	0.2536823263
216	0.2534894926
217	0.2534379376
218	0.2532970414
219	0.25321686
220	0.2530793081
221	0.2529329636
222	0.2527730913
223	0.2526669636
224	0.2525383562
225	0.252481862
226	0.2522518074
227	0.2521876887
228	0.2521110611
229	0.251963177
230	0.2518251526
231	0.2517450666
232	0.2516075133
233	0.2514490437
234	0.2513789329
235	0.2512506893
236	0.2511160536
237	0.2510369289
238	0.2508955645
239	0.250836692
240	0.2507620464
241	0.2506009978
242	0.2505302859
243	0.2503964157
244	0.2502687864
245	0.2501968463
246	0.2499957174
247	0.2498251464
248	0.2496587457
249	0.2495355408
250	0.2494740286
251	0.2494035437
252	0.2493621247
253	0.249195473
254	0.2490485806
255	0.2487630706
256	0.2485734236
257	0.2484587338
258	0.2483417272
259	0.2481968631
260	0.2481219385
261	0.2480573023
262	0.2479930355
263	0.2478643664
264	0.2477233881
265	0.2476044037
266	0.2475267677
267	0.2474594631
268	0.2473946638
269	0.247251686
270	0.2471912641
271	0.2471277859
272	0.2469895122
273	0.2468704169
274	0.2466598727
275	0.2465956128
276	0.2464973652
277	0.2464530799
278	0.2463995874
279	0.2463230839
280	0.2461773245
281	0.2460635677
282	0.2459861465
283	0.2458783639
284	0.2458061988
285	0.2457404507
286	0.2456906578
287	0.2456123581
288	0.2454787853
289	0.245401664
290	0.245288895
291	0.2452366387
292	0.2451470889
293	0.2450767842
294	0.2450642949
295	0.2449732848
296	0.2448514169
297	0.2446974364
298	0.2446272671
299	0.2445104881
300	0.2444832358
301	0.2443980808
302	0.2443075526
303	0.244167442
304	0.2440551331
305	0.2439792382
306	0.2439127554
307	0.2438369433
308	0.2436825604
309	0.2435783064
310	0.2434555091
311	0.2434436329
312	0.2433606195
313	0.2433235169
314	0.2432323851
315	0.2431580241
316	0.2430841731
317	0.2430313772
318	0.2430090539
319	0.2429765016
320	0.2429095735
321	0.2428363178
322	0.2427202474
323	0.2426938743
324	0.2426086554
325	0.2425521531
326	0.2424518921
327	0.2423491196
328	0.2421293136
329	0.2420519524
330	0.2420260285
331	0.2419335334
332	0.2418126878
333	0.241743473
334	0.2416877557
335	0.2416639211
336	0.2416004521
337	0.2414607601
338	0.2413726734
339	0.2412368749
340	0.2411122488
341	0.2410642992
342	0.2409598451
343	0.2409129676
344	0.2407687014
345	0.2406126715
346	0.2405246629
347	0.2403915765
348	0.2403376652
349	0.2402483103
350	0.2401458134
351	0.2401423367
352	0.2400763286
353	0.2400179013
354	0.2400123483
355	0.2399434253
356	0.2399218992
357	0.2398590003
358	0.239782402
359	0.2397212735
360	0.2396083269
361	0.2395309762
362	0.2394425338
363	0.2393779989
364	0.2393595687
365	0.2392942887
366	0.2392840695
367	0.2391947362
368	0.2391582058
369	0.2391007558
370	0.2390184532
371	0.2389399424
372	0.2388782521
373	0.2387052047
374	0.238588424
375	0.2384703995
376	0.238421514
377	0.2383759186
378	0.2382700445
379	0.23817236
380	0.2381189207
381	0.2379685495
382	0.2378358427
383	0.2377310388
384	0.2377265025
385	0.2377030505
386	0.2375568603
387	0.2375502111
388	0.2375050088
389	0.2374100431
390	0.2373054298
391	0.2372307204
392	0.2371295898
393	0.2371117554
394	0.2370094773
395	0.2370068531
396	0.2369997547
397	0.2369928865
398	0.2368675869
399	0.2367762844
400	0.2367152177
401	0.2365980728
402	0.2365356197
403	0.2364893319
404	0.2364235758
405	0.236371408
406	0.2363120224
407	0.2362646315
408	0.2362115985
409	0.2361025655
410	0.2360144542
411	0.2360080937
412	0.2359325349
413	0.235865582
414	0.2357784961
415	0.235638868
416	0.2355854838
417	0.2355650706
418	0.2354839989
419	0.2353578911
420	0.2353397678
421	0.2352712348
422	0.2352686694
423	0.2352058132
424	0.2350403572
425	0.2349668161
426	0.2348845437
427	0.2348099833
428	0.234749909
429	0.2346598536
430	0.2345756845
431	0.2344704746
432	0.2344447211
433	0.2344389702
434	0.2343916085
435	0.2342971782
436	0.2341969212
437	0.2341026031
438	0.2340428811
439	0.233951972
440	0.2339299002
441	0.2339243497
442	0.2338374195
443	0.2337551045
444	0.2336767578
445	0.2336525946
446	0.2335720587
447	0.2335186823
448	0.2334518381
449	0.2333909425
450	0.2333196099
451	0.2333151628
452	0.2332719871
453	0.233220005
454	0.2331374514
455	0.2330912251
456	0.2330383518
457	0.2330332678
458	0.2329530951
459	0.2328909153
460	0.2328865462
461	0.2327753062
462	0.2327149602
463	0.2327118399
464	0.2326957024
465	0.2326909251
466	0.2326448082
467	0.2325762156
468	0.2325602341
469	0.2325556259
470	0.2325283605
471	0.2324652087
472	0.2324608056
473	0.2324135266
474	0.2323192845
475	0.232249223
476	0.2321764193
477	0.2321423725
478	0.2320774012
479	0.2320190969
480	0.2319283219
481	0.231856417
482	0.231852572
483	0.2317937449
484	0.2316908401
485	0.2315417344
486	0.231394074
487	0.2313361039
488	0.2312801925
489	0.2312257597
490	0.2311904319
491	0.2311220487
492	0.231089109
493	0.2310758377
494	0.2309939555
495	0.230898475
496	0.230848156
497	0.2307931326
498	0.2307809096
499	0.2307386134
500	0.2306652992
501	0.2305869745
502	0.2304571671
503	0.2304048392
504	0.23037188
505	0.2303168825
506	0.2303130295
507	0.2303009516
508	0.2302479474
509	0.2301977354
510	0.230091413
511	0.2300328203
512	0.2299697243
513	0.2298793571
514	0.2298757692
515	0.2297653481
516	0.2296833234
517	0.2296310143
518	0.2295675293
519	0.2294885765
