iter	Passed	Remaining
0	2	2075
1	3	1984
2	5	1948
3	7	1925
4	9	1913
5	11	1971
6	13	1968
7	15	1954
8	17	1955
9	19	1964
10	21	1966
11	23	1964
12	26	1998
13	28	1997
14	30	1995
15	32	1993
16	34	1993
17	36	1992
18	38	1994
19	40	1994
20	42	1997
21	44	1993
22	47	2000
23	49	2012
24	51	2019
25	54	2035
26	57	2056
27	59	2052
28	61	2050
29	63	2048
30	65	2042
31	66	2010
32	68	2005
33	70	2006
34	72	2009
35	75	2008
36	77	2007
37	79	2003
38	81	1999
39	83	1993
40	84	1987
41	87	1994
42	89	1993
43	91	1993
44	93	1992
45	95	1990
46	98	1990
47	100	1990
48	102	1998
49	105	1999
50	107	1997
51	109	1995
52	111	1990
53	113	1985
54	115	1982
55	117	1984
56	119	1981
57	121	1977
58	123	1975
59	125	1972
60	128	1970
61	130	1967
62	132	1965
63	134	1964
64	137	1972
65	139	1968
66	141	1965
67	143	1963
68	145	1961
69	147	1964
70	149	1962
71	152	1960
72	153	1945
73	155	1944
74	157	1943
75	160	1945
76	162	1947
77	164	1946
78	166	1946
79	169	1944
80	171	1943
81	173	1941
82	175	1940
83	178	1947
84	180	1946
85	183	1947
86	185	1945
87	187	1943
88	190	1948
89	193	1958
90	195	1956
91	198	1954
92	200	1951
93	202	1948
94	204	1948
95	206	1946
96	209	1950
97	211	1946
98	213	1943
99	215	1940
100	217	1938
101	220	1937
102	222	1935
103	224	1934
104	226	1931
105	228	1930
106	230	1927
107	233	1927
108	235	1926
109	237	1923
110	239	1921
111	242	1919
112	244	1917
113	246	1916
114	248	1914
115	250	1911
116	253	1910
117	255	1908
118	257	1905
119	259	1902
120	261	1900
121	263	1897
122	265	1895
123	268	1893
124	270	1891
125	272	1888
126	273	1878
127	275	1875
128	277	1872
129	279	1869
130	281	1866
131	283	1866
132	285	1864
133	288	1861
134	290	1858
135	292	1855
136	294	1853
137	296	1852
138	298	1849
139	300	1847
140	302	1845
141	305	1843
142	307	1841
143	309	1838
144	311	1836
145	313	1834
146	315	1832
147	317	1829
148	319	1827
149	322	1824
150	324	1822
151	326	1819
152	328	1817
153	330	1814
154	332	1811
155	334	1809
156	336	1806
157	338	1803
158	340	1801
159	342	1799
160	345	1798
161	347	1795
162	349	1792
163	351	1790
164	353	1787
165	355	1784
166	357	1781
167	359	1780
168	361	1778
169	364	1777
170	366	1774
171	367	1771
172	369	1768
173	371	1765
174	374	1763
175	376	1764
176	379	1763
177	381	1761
178	383	1759
179	385	1757
180	388	1756
181	391	1759
182	393	1756
183	395	1755
184	398	1753
185	400	1752
186	403	1752
187	405	1752
188	408	1750
189	410	1749
190	412	1748
191	415	1746
192	417	1744
193	420	1748
194	423	1746
195	425	1744
196	427	1743
197	429	1741
198	432	1739
199	434	1737
200	436	1735
201	438	1733
202	440	1731
203	443	1728
204	445	1726
205	447	1725
206	449	1723
207	452	1721
208	454	1718
209	456	1716
210	458	1713
211	460	1711
212	462	1708
213	464	1706
214	466	1704
215	468	1702
216	471	1699
217	473	1697
218	475	1694
219	477	1692
220	479	1689
221	481	1687
222	483	1684
223	485	1682
224	487	1679
225	489	1676
226	491	1674
227	493	1672
228	496	1670
229	498	1667
230	500	1664
231	502	1661
232	504	1659
233	506	1657
234	508	1655
235	510	1653
236	512	1651
237	514	1648
238	516	1646
239	518	1643
240	521	1641
241	523	1639
242	525	1636
243	527	1635
244	529	1632
245	531	1629
246	533	1626
247	535	1624
248	537	1622
249	540	1620
250	542	1618
251	544	1616
252	546	1613
253	548	1611
254	550	1609
255	553	1607
256	555	1605
257	557	1603
258	559	1601
259	561	1599
260	563	1596
261	566	1594
262	568	1592
263	570	1590
264	573	1589
265	575	1587
266	577	1585
267	579	1583
268	581	1581
269	584	1579
270	586	1577
271	588	1575
272	590	1573
273	593	1571
274	595	1569
275	597	1567
276	599	1565
277	602	1564
278	604	1562
279	606	1559
280	608	1557
281	610	1554
282	612	1552
283	614	1549
284	616	1547
285	618	1545
286	620	1542
287	623	1540
288	625	1538
289	627	1536
290	629	1534
291	632	1534
292	635	1532
293	637	1529
294	639	1527
295	641	1524
296	643	1522
297	645	1519
298	648	1519
299	650	1517
300	652	1514
301	654	1512
302	656	1509
303	658	1507
304	660	1505
305	662	1502
306	664	1500
307	666	1498
308	668	1495
309	671	1493
310	673	1491
311	675	1489
312	677	1486
313	680	1486
314	682	1484
315	684	1482
316	686	1479
317	688	1477
318	691	1475
319	693	1473
320	695	1471
321	697	1469
322	699	1466
323	701	1463
324	703	1461
325	706	1459
326	708	1457
327	710	1455
328	712	1452
329	714	1450
330	716	1447
331	718	1445
332	720	1442
333	722	1440
334	724	1438
335	726	1436
336	728	1433
337	730	1431
338	732	1429
339	735	1426
340	737	1425
341	739	1423
342	742	1421
343	744	1419
344	747	1418
345	749	1416
346	751	1415
347	754	1413
348	756	1411
349	759	1409
350	761	1408
351	763	1405
352	765	1403
353	768	1401
354	769	1398
355	771	1395
356	773	1393
357	775	1390
358	777	1388
359	779	1386
360	782	1384
361	785	1384
362	787	1382
363	790	1382
364	793	1380
365	795	1378
366	797	1376
367	801	1376
368	805	1376
369	808	1376
370	810	1374
371	812	1371
372	815	1370
373	817	1368
374	820	1366
375	823	1366
376	825	1363
377	827	1361
378	829	1359
379	833	1359
380	835	1357
381	837	1354
382	839	1352
383	841	1350
384	843	1346
385	845	1344
386	847	1342
387	848	1339
388	851	1336
389	853	1335
390	855	1333
391	858	1331
392	861	1329
393	863	1327
394	865	1325
395	867	1322
396	869	1320
397	871	1318
398	874	1316
399	876	1314
400	878	1312
401	881	1310
402	883	1308
403	885	1306
404	888	1304
405	890	1303
406	893	1301
407	895	1299
408	898	1297
409	900	1295
410	902	1292
411	904	1290
412	906	1288
413	909	1286
414	911	1284
415	913	1282
416	915	1280
417	917	1277
418	920	1275
419	922	1274
420	924	1272
421	926	1269
422	928	1266
423	930	1264
424	933	1262
425	935	1260
426	938	1259
427	940	1257
428	942	1255
429	945	1252
430	947	1250
431	949	1248
432	951	1246
433	953	1244
434	956	1241
435	958	1239
436	960	1237
437	962	1235
438	964	1233
439	967	1231
440	969	1229
441	971	1226
442	973	1224
443	975	1221
444	977	1219
445	979	1217
446	982	1215
447	984	1212
448	986	1210
449	988	1208
450	990	1205
451	992	1203
452	994	1200
453	996	1198
454	998	1196
455	1000	1194
456	1003	1191
457	1005	1189
458	1007	1187
459	1009	1185
460	1010	1182
461	1013	1180
462	1015	1177
463	1016	1174
464	1018	1172
465	1020	1169
466	1022	1167
467	1025	1165
468	1027	1163
469	1029	1160
470	1031	1158
471	1033	1155
472	1035	1153
473	1037	1151
474	1039	1148
475	1041	1146
476	1044	1144
477	1046	1142
478	1048	1140
479	1050	1137
480	1052	1135
481	1054	1133
482	1056	1131
483	1059	1129
484	1061	1126
485	1063	1124
486	1065	1122
487	1067	1119
488	1069	1117
489	1071	1115
490	1073	1113
491	1075	1110
492	1078	1108
493	1080	1106
494	1082	1103
495	1084	1101
496	1086	1099
497	1088	1097
498	1090	1094
499	1092	1092
500	1094	1090
501	1096	1087
502	1098	1085
503	1100	1083
504	1102	1080
505	1104	1078
506	1106	1076
507	1108	1073
508	1110	1071
509	1112	1069
510	1114	1066
511	1116	1064
512	1118	1062
513	1121	1059
514	1122	1057
515	1125	1055
516	1127	1052
517	1129	1050
518	1131	1048
519	1133	1046
520	1136	1044
521	1138	1042
522	1140	1040
523	1143	1038
524	1145	1036
525	1147	1034
526	1150	1032
527	1152	1030
528	1154	1028
529	1157	1026
530	1159	1024
531	1162	1022
532	1165	1021
533	1167	1019
534	1169	1016
