Clean_Locality,Price_Per_SqFt,Price_Lakhs,Count
Bopal,6005.639999999999,80.0,152
Shela,6421.375,73.4,124
Chandkheda,5375.0,68.0,97
Gota,6222.22,85.0,89
Naroda,3766.48,42.0,67
Vaishnodevi,6737.45,81.7,67
Sarkhej,6375.360000000001,67.0,56
Ambli,9592.09,262.5,52
Jagatpur,7869.58,70.0,50
Vastral,4024.675,48.5,48
Nikol,4050.93,42.0,47
Shilaj,7383.72,89.5,43
Narol,2923.98,28.5,43
Ranip,5349.79,51.0,33
Tragad,5420.05,71.0,31
Vasna,6299.21,60.0,31
Maninagar,4772.360000000001,45.0,30
Thaltej,8595.99,194.0,29
Vejalpur,5168.54,55.0,29
Satellite,8398.65,122.5,28
Vatva,2691.79,19.3,27
Ghuma,4680.0,58.5,27
Bodakdev,8933.505000000001,192.5,26
Motera,6071.43,82.0,25
Science City,7624.25,142.0,23
Prahlad Nagar,7560.98,125.0,21
Sanand,5055.555,48.0,20
Hathijan,2738.84,29.25,18
Chandlodiya,5000.0,58.5,16
Vastrapur,8585.86,135.0,15
Khokhra,5355.4,58.0,15
Zundal,4257.725,77.5,14
Sola,7969.135,112.0,14
Chharodi,5277.78,115.0,13
Memnagar,7063.49,91.0,13
Makarba,6738.1849999999995,85.0,12
Ambawadi,8836.16,168.5,12
Ghodasar,4761.9,40.5,11
Changodar,2746.57,18.1,11
Naranpura,6192.584999999999,104.0,10
Paldi,7257.455,108.0,10
Odhav,5773.13,161.0,10
Ghatlodiya,6869.28,59.5,10
Jodhpur,9972.08,177.0,9
Navrangpura,7127.88,160.0,9
Shahibag,8722.49,110.0,8
Gurukul,6400.0,50.0,7
Ognaj,4753.42,81.0,7
Isanpur,6666.67,48.0,5
