Locality,Large_Apt_Ratio,Gated_Ratio,Supply,Family_Score,Insight_Type
"Naranpura, Ahmedabad",0.6923076923076923,1.0,13,0.8153846153846154,Family Sanctuary
"Ambawadi, Ahmedabad",0.8181818181818182,0.45454545454545453,11,0.6727272727272727,Family Sanctuary
"South Bopal, Bopal, Ahmedabad",0.8571428571428571,0.21428571428571427,14,0.6,Family Sanctuary
"Navrangpura, Ahmedabad",0.7272727272727273,0.36363636363636365,11,0.5818181818181818,Family Sanctuary
"Shela, Ahmedabad",0.7307692307692307,0.34615384615384615,26,0.5769230769230769,Family Sanctuary
"Vaishnodevi Circle, Ahmedabad",0.6923076923076923,0.38461538461538464,13,0.5692307692307692,Family Sanctuary
"Motera, Ahmedabad",0.6923076923076923,0.3076923076923077,13,0.5384615384615384,Family Sanctuary
"Paldi, Ahmedabad",0.6470588235294118,0.23529411764705882,17,0.4823529411764706,Family Sanctuary
"Jagatpur, Ahmedabad",0.6,0.3,10,0.48,Family Sanctuary
"Zundal, Ahmedabad",0.6,0.3,10,0.48,Family Sanctuary
