Locality,Price_Per_SqFt,Value_Score,Median_Price,Supply,Avg_BHK,Investment_Category
Ahmedabad,5496.805,2172.702982438166,54.0,206,2.262135922330097,Best Value (Affordable + High Value)
"Ambawadi, Ahmedabad",8465.61,1339.089137412988,150.0,11,3.0,Premium
"Bopal, Ahmedabad",6304.385,1828.081267310559,60.5,14,2.5714285714285716,Mid-Segment
"Chandkheda, Ahmedabad",6349.21,1662.9085719864381,58.0,29,2.206896551724138,Mid-Segment
"Gota, Ahmedabad",7028.58,1587.3090663094395,75.5,20,2.45,Mid-Segment
"Jagatpur, Ahmedabad",8563.065,1305.445958602472,95.0,10,2.7,Premium
"Maninagar, Ahmedabad",6659.37,1707.5567668579042,69.0,16,2.375,Mid-Segment
"Motera, Ahmedabad",6868.13,1649.2745414555534,85.0,13,2.769230769230769,Mid-Segment
"Naranpura, Ahmedabad",7500.0,1423.2190515461969,90.0,13,3.3076923076923075,Premium
"Naroda, Ahmedabad",4566.485000000001,2230.3882272814035,49.5,10,2.7,Best Value (Affordable + High Value)
"Narolgam, Ahmedabad",3439.15,4803.995933743584,25.0,11,1.8181818181818181,Best Value (Affordable + High Value)
"Navrangpura, Ahmedabad",8888.89,1261.8906494612165,160.0,11,3.3636363636363638,Premium
"Nikol, Ahmedabad",5500.0,1773.8743072198915,55.0,21,2.4285714285714284,Affordable
"Paldi, Ahmedabad",7000.0,1605.2666254141868,85.0,17,2.764705882352941,Mid-Segment
"Shahibag, Ahmedabad",7850.14,1339.3251380237366,85.0,10,2.4,Premium
"Shela, Ahmedabad",7304.780000000001,1456.419065139039,73.0,26,2.730769230769231,Mid-Segment
"South Bopal, Bopal, Ahmedabad",6458.335,1668.8550904694728,80.0,14,2.9285714285714284,Mid-Segment
"Vaishnodevi Circle, Ahmedabad",7924.92,1383.0835634851828,76.0,13,2.769230769230769,Premium
"Vasna, Ahmedabad",7405.889999999999,1628.3132182506924,53.5,10,1.9,Mid-Segment
"Vastral, Ahmedabad",4921.7,1969.854858382929,45.0,19,2.0526315789473686,Best Value (Affordable + High Value)
"Vejalpur, Jivraj park, Ahmedabad",6302.52,1909.7293145674596,38.0,11,1.4545454545454546,Mid-Segment
"Zundal, Ahmedabad",4782.155,2029.186326988769,64.25,10,2.6,Best Value (Affordable + High Value)
