Locality,Supply,Median_Price,Mean_Price,Price_Per_SqFt,Median_Area,Avg_BHK,Dominant_Type
"100 Feet Road, Ahmedabad",2,40.9,40.9,5167.625,809.0,2.0,Apartment
"42 Parkview, Science City, Ahmedabad",6,135.0,140.5,5908.615,2313.0,3.0,Apartment
"4D Square, Motera, Ahmedabad",1,80.0,80.0,4705.88,1700.0,3.0,Apartment
"52 Hansol, Sardarnagar, Ahmedabad",1,20.0,20.0,4705.88,425.0,1.0,Apartment
"7 Oak Shangri La, Dholera, Ahmedabad",1,45.0,45.0,3077.98,1462.0,2.0,Apartment
"A Shridhar Anantara Imperial, Science City Road, Ahmedabad",1,205.0,205.0,7352.94,2788.0,3.0,Apartment
"A Shridhar Anantara Imperial, Science City, Ahmedabad",1,167.0,167.0,10886.57,1534.0,3.0,Plot
"A Shridhar Kaveri Soham Vivanta, Shilaj, Ahmedabad",1,89.0,89.0,5741.94,1550.0,3.0,Apartment
"A Shridhar Kaveri Soham, Shilaj, Ahmedabad",3,60.0,72.33333333333333,3921.57,1530.0,3.0,Apartment
"A V Star Heights, Nikol Naroda Road, Ahmedabad",1,66.0,66.0,6734.69,980.0,2.0,Apartment
"A V Star Heights, Nikol, Ahmedabad",1,68.0,68.0,4317.46,1575.0,2.0,Apartment
"A.Shridhar Kaveri Sangam, Shilaj, Ahmedabad",2,80.75,80.75,7965.855,1012.5,3.0,Apartment
"A.Shridhar Kaveri Soham Vistara, Shilaj, Ahmedabad",2,110.0,110.0,9892.1,1208.5,3.0,Apartment
"A3 Heights, Motera, Ahmedabad",1,80.0,80.0,5925.93,1350.0,3.0,Villa/Bungalow
"AARON ELINOR 51, Science City, Ahmedabad",1,294.0,294.0,6380.21,4608.0,4.0,Apartment
"Aadhvan Rise, South Bopal, Bopal, Ahmedabad",1,58.0,58.0,7435.9,780.0,3.0,Apartment
"Aakar Ishan Silver, New CG Road, Ahmedabad",1,54.0,54.0,3000.0,1800.0,2.0,Apartment
"Aakash Residency Phase II, Shela, Ahmedabad",1,55.0,55.0,5933.12,927.0,2.0,Apartment
"Aakruti Township, Narolgam, Ahmedabad",3,21.0,19.833333333333332,2019.23,945.0,1.6666666666666667,Apartment
"Aaradhya Home, Chandkheda, Ahmedabad",1,70.0,70.0,6029.29,1161.0,2.0,Apartment
"Aarambh Sasvat, Ahmedabad",1,26.0,26.0,3703.7,702.0,1.0,Apartment
"Aarav Elenza Infinium, Daskroi, Ahmedabad",1,88.0,88.0,4512.82,1950.0,3.0,Apartment
"Aaravi 119, Shilaj, Ahmedabad",1,63.5,63.5,7383.72,860.0,2.0,Apartment
"Aaravi 156, South Bopal, Bopal, Ahmedabad",2,70.25,70.25,4730.635,1485.0,3.0,Apartment
